group,run_dir,seed,n_params,mean_iter_time_s,total_time_s,peak_rss_mb,loss_final,L2_u_global_pct,L2_f_global_pct,L2_u_t0_pct,L2_u_boundary_pct,L2_u_interior_pct
q6,results/kg_dv_cascade_q6_seed4/2026-09-08_15-58-18-867568,4,875,0.32327145132333246,6465.896833181381,610.28515625,0.3792122006416321,3.4660696983337402,1.1042965576052666,1.4308322221040726,1.826404221355915,3.4991737455129623
q6,results/kg_dv_cascade_q6_seed5/2026-09-08_15-58-18-867508,5,875,0.3196358479039571,6393.185193300247,608.27734375,0.1388610601425171,7.36611932516098,1.5732735395431519,2.721692807972431,3.7983689457178116,7.4376121163368225
alternate,results/kg_dv_angle_alternate_seed1/2026-09-01_20-58-25-315762,1,772,0.24897164601469268,4979.819225311279,497.015625,0.09900308400392532,7.4220262467861176,0.8313869126141071,1.8625564873218536,3.4844819456338882,7.498501241207123
alternate,results/kg_dv_angle_alternate_seed10/2026-09-01_22-22-28-799338,10,772,0.2262122859713007,4524.598919630051,499.40234375,0.15793924033641815,12.538649141788483,1.6149137169122696,3.6778856068849564,3.4424010664224625,12.691737711429596
alternate,results/kg_dv_angle_alternate_seed2/2026-09-01_20-58-25-435439,2,772,0.2463504486501683,4927.394813776016,502.55859375,0.6825968027114868,3.101254254579544,1.378551498055458,1.3768518343567848,2.0307525992393494,3.124700114130974
alternate,results/kg_dv_angle_alternate_seed3/2026-09-01_20-58-25-446198,3,772,0.24621642885850653,4924.7113535404205,505.59765625,0.380992591381073,14.642605185508728,1.8935950472950935,5.977778136730194,5.896521359682083,14.804691076278687
alternate,results/kg_dv_angle_alternate_seed4/2026-09-01_20-58-25-419906,4,772,0.248482964485479,4970.049287319183,502.52734375,0.20260334014892578,21.146436035633087,1.6442790627479553,3.6650683730840683,3.8373101502656937,21.416395902633667
alternate,results/kg_dv_angle_alternate_seed5/2026-09-01_20-58-25-447363,5,772,0.25113295668897,5023.051190853119,507.34765625,0.16122901439666748,7.212793081998825,1.129322312772274,1.7355499789118767,2.4235693737864494,7.297302782535553
alternate,results/kg_dv_angle_alternate_seed6/2026-09-01_20-58-25-484423,6,772,0.2496058575565157,4992.504107713699,506.0546875,0.2942526340484619,14.547300338745117,2.036421000957489,4.577435180544853,6.714370846748352,14.698606729507446
alternate,results/kg_dv_angle_alternate_seed7/2026-09-01_22-22-28-793714,7,772,0.22644382876950594,4529.229358434677,504.16015625,0.13404525816440582,8.761684596538544,1.2886161915957928,2.3604290559887886,2.689461410045624,8.866491168737411
alternate,results/kg_dv_angle_alternate_seed8/2026-09-01_22-22-28-731606,8,772,0.22433269240672526,4487.003944396973,501.046875,0.48038917779922485,38.588374853134155,1.555949728935957,3.0245210975408554,3.755887970328331,39.09286856651306
alternate,results/kg_dv_angle_alternate_seed9/2026-09-01_22-22-28-805632,9,772,0.2255847774921168,4512.0465342998505,504.45703125,0.4286501407623291,30.922093987464905,2.476818487048149,4.708698019385338,5.515582114458084,31.31730854511261
layered,results/kg_dv_angle_layered_seed1/2026-09-01_23-38-19-394637,1,776,0.2628028894343085,5256.46436047554,525.421875,1.1474196910858154,29.068726301193237,2.086217887699604,5.552786961197853,6.966922432184219,29.430478811264038
layered,results/kg_dv_angle_layered_seed10/2026-09-02_01-06-34-853369,10,776,0.23703059811848207,4740.976374387741,519.9765625,0.40230703353881836,17.01367348432541,2.704061008989811,4.809071123600006,5.007820576429367,17.218883335590363
layered,results/kg_dv_angle_layered_seed2/2026-09-01_23-38-19-448503,2,776,0.2601813555908283,5204.0258667469025,519.90625,0.44572776556015015,28.58746647834778,1.7481150105595589,3.3079952001571655,5.871275067329407,28.94895374774933
layered,results/kg_dv_angle_layered_seed3/2026-09-01_23-38-19-356703,3,776,0.2598697056129184,5197.794374704361,520.9609375,0.39400234818458557,18.734662234783173,1.251125056296587,7.257793843746185,6.12700879573822,18.95563155412674
layered,results/kg_dv_angle_layered_seed4/2026-09-01_23-38-19-459684,4,776,0.26329694592201636,5266.338150501251,528.0859375,0.44637635350227356,21.98311686515808,2.072525955736637,6.0899000614881516,6.221400573849678,22.250154614448547
layered,results/kg_dv_angle_layered_seed5/2026-09-01_23-38-19-439787,5,776,0.2629343287377336,5259.0992913246155,518.8671875,0.5991714596748352,13.234297931194305,2.6936713606119156,4.1992198675870895,5.180444568395615,13.382349908351898
layered,results/kg_dv_angle_layered_seed6/2026-09-01_23-38-19-441884,6,776,0.2636379259421821,5273.161594152451,527.3046875,0.3735128939151764,10.981658846139908,2.290167845785618,2.394913323223591,4.044479131698608,11.107046902179718
layered,results/kg_dv_angle_layered_seed7/2026-09-02_01-06-34-863252,7,776,0.23705445640596107,4741.459414958954,524.03125,0.4109751880168915,17.555634677410126,1.80578101426363,5.445510521531105,6.472326070070267,17.756018042564392
layered,results/kg_dv_angle_layered_seed8/2026-09-02_01-06-34-782650,8,776,0.2353013413403902,4706.391427516937,521.8671875,0.2800292372703552,22.86207675933838,1.5415815636515617,3.169573098421097,6.06909953057766,23.142674565315247
layered,results/kg_dv_angle_layered_seed9/2026-09-02_01-06-34-853345,9,776,0.2376102190693134,4752.568887472153,522.234375,3.0537452697753906,12.885075807571411,4.682270437479019,2.788114547729492,5.730872601270676,13.021670281887054
